country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[MM]
ID,MM,,,145.4,0.1,2.6,HYDRO_[MM]
ID,MM,,,145.4,0.1,1.0,PP_CO2_[MM]
ID,MM,,,145.4,0.0,1.1,BESS_[MM]
ID,MM,,,145.4,0.0,1.2,EL_to_HTH_[MM]
ID,MM,,,145.4,0.0,0.0,EL_to_NH3_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_Storage_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_EL_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_HTH_[MM]
ID,MM,,,145.4,1.0,6.4,FF_to_HTH_[MM]
ID,MM,,,145.4,0.0,6.5,EL_Demand_[MM]
ID,MM,,,145.4,0.0,6.6,HTH_Demand_[MM]
ID,MM,,,145.4,0.2,1.8,EL_Transport_[ID-MM]
ID,MM,,,145.4,0.0,0.0,NH3_Transport_[ID-MM]
ID,MM,,,145.4,1.2,68.0,RE_PV_Openfield_Lim_[ID]
ID,MM,,,145.4,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MM,,,145.4,17.0,374.0,RE_WIND_Onshore_Lim_0_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,MM,,,145.4,0.1,4.6,HYDRO_[ID]
ID,MM,,,145.4,5.6,73.2,PP_CO2_[ID]
ID,MM,,,145.4,0.1,7.1,BESS_[ID]
ID,MM,,,145.4,1.3,115.6,EL_to_HTH_[ID]
ID,MM,,,145.4,0.0,0.0,EL_to_NH3_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_Storage_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_to_EL_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_to_HTH_[ID]
ID,MM,,,145.4,9.3,114.6,FF_to_HTH_[ID]
ID,MM,,,145.4,0.0,138.0,EL_Demand_[ID]
ID,MM,,,145.4,0.0,117.7,HTH_Demand_[ID]
ID,MM,,,145.4,0.2,7.0,RE_PV_Openfield_Lim_[MM]
ID,MM,,,145.4,0.0,0.0,RE_PV_Rooftop_Lim_[MM]
ID,MM,,,145.4,0.3,5.0,RE_WIND_Onshore_Lim_0_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[MM]
ID,MM,,,145.4,0.1,2.6,HYDRO_[MM]
ID,MM,,,145.4,0.1,1.0,PP_CO2_[MM]
ID,MM,,,145.4,0.0,1.1,BESS_[MM]
ID,MM,,,145.4,0.0,1.2,EL_to_HTH_[MM]
ID,MM,,,145.4,0.0,0.0,EL_to_NH3_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_Storage_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_EL_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_HTH_[MM]
ID,MM,,,145.4,1.0,6.4,FF_to_HTH_[MM]
ID,MM,,,145.4,0.0,6.5,EL_Demand_[MM]
ID,MM,,,145.4,0.0,6.6,HTH_Demand_[MM]
ID,MM,,,145.4,0.2,1.8,EL_Transport_[ID-MM]
ID,MM,,,145.4,0.0,0.0,NH3_Transport_[ID-MM]
ID,MM,,,145.4,1.2,68.0,RE_PV_Openfield_Lim_[ID]
ID,MM,,,145.4,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MM,,,145.4,17.0,374.0,RE_WIND_Onshore_Lim_0_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,MM,,,145.4,0.1,4.6,HYDRO_[ID]
ID,MM,,,145.4,5.6,73.2,PP_CO2_[ID]
ID,MM,,,145.4,0.1,7.1,BESS_[ID]
ID,MM,,,145.4,1.3,115.6,EL_to_HTH_[ID]
ID,MM,,,145.4,0.0,0.0,EL_to_NH3_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_Storage_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_to_EL_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_to_HTH_[ID]
ID,MM,,,145.4,9.3,114.6,FF_to_HTH_[ID]
ID,MM,,,145.4,0.0,138.0,EL_Demand_[ID]
ID,MM,,,145.4,0.0,117.7,HTH_Demand_[ID]
ID,MM,,,145.4,0.2,7.0,RE_PV_Openfield_Lim_[MM]
ID,MM,,,145.4,0.0,0.0,RE_PV_Rooftop_Lim_[MM]
ID,MM,,,145.4,0.3,5.0,RE_WIND_Onshore_Lim_0_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[MM]
ID,MM,,,145.4,0.1,2.6,HYDRO_[MM]
ID,MM,,,145.4,0.1,1.0,PP_CO2_[MM]
ID,MM,,,145.4,0.0,1.1,BESS_[MM]
ID,MM,,,145.4,0.0,1.2,EL_to_HTH_[MM]
ID,MM,,,145.4,0.0,0.0,EL_to_NH3_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_Storage_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_EL_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_HTH_[MM]
ID,MM,,,145.4,1.0,6.4,FF_to_HTH_[MM]
ID,MM,,,145.4,0.0,6.5,EL_Demand_[MM]
ID,MM,,,145.4,0.0,6.6,HTH_Demand_[MM]
ID,MM,,,145.4,0.2,1.8,EL_Transport_[ID-MM]
ID,MM,,,145.4,0.0,0.0,NH3_Transport_[ID-MM]
ID,MM,,,145.4,1.2,68.0,RE_PV_Openfield_Lim_[ID]
ID,MM,,,145.4,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MM,,,145.4,17.0,374.0,RE_WIND_Onshore_Lim_0_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[ID]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[ID]
ID,MM,,,145.4,0.1,4.6,HYDRO_[ID]
ID,MM,,,145.4,5.6,73.2,PP_CO2_[ID]
ID,MM,,,145.4,0.1,7.1,BESS_[ID]
ID,MM,,,145.4,1.3,115.6,EL_to_HTH_[ID]
ID,MM,,,145.4,0.0,0.0,EL_to_NH3_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_Storage_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_to_EL_[ID]
ID,MM,,,145.4,0.0,0.0,NH3_to_HTH_[ID]
ID,MM,,,145.4,9.3,114.6,FF_to_HTH_[ID]
ID,MM,,,145.4,0.0,138.0,EL_Demand_[ID]
ID,MM,,,145.4,0.0,117.7,HTH_Demand_[ID]
ID,MM,,,145.4,0.2,7.0,RE_PV_Openfield_Lim_[MM]
ID,MM,,,145.4,0.0,0.0,RE_PV_Rooftop_Lim_[MM]
ID,MM,,,145.4,0.3,5.0,RE_WIND_Onshore_Lim_0_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_1_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Onshore_Lim_9_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_0_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_1_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_2_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_3_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_4_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_5_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_6_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_7_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_8_[MM]
ID,MM,,,145.4,0.0,0.0,RE_WIND_Offshore_Lim_9_[MM]
ID,MM,,,145.4,0.1,2.6,HYDRO_[MM]
ID,MM,,,145.4,0.1,1.0,PP_CO2_[MM]
ID,MM,,,145.4,0.0,1.1,BESS_[MM]
ID,MM,,,145.4,0.0,1.2,EL_to_HTH_[MM]
ID,MM,,,145.4,0.0,0.0,EL_to_NH3_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_Storage_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_EL_[MM]
ID,MM,,,145.4,0.0,0.0,NH3_to_HTH_[MM]
ID,MM,,,145.4,1.0,6.4,FF_to_HTH_[MM]
ID,MM,,,145.4,0.0,6.5,EL_Demand_[MM]
ID,MM,,,145.4,0.0,6.6,HTH_Demand_[MM]
ID,MM,,,145.4,0.2,1.8,EL_Transport_[ID-MM]
ID,MM,,,145.4,0.0,0.0,NH3_Transport_[ID-MM]
ID,MM,,,126.3,1.7,92.2,RE_PV_Openfield_Lim_[ID]
ID,MM,,,126.3,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MM,,,126.3,17.8,391.8,RE_WIND_Onshore_Lim_0_[ID]
ID,MM,,,126.3,0.0,0.0,RE_WIND_Onshore_Lim_1_[ID]
ID,MM,,,126.3,0.0,0.0,RE_WIND_Onshore_Lim_2_[ID]
ID,MM,,,126.3,0.0,0.0,RE_WIND_Onshore_Lim_3_[ID]
ID,MM,,,126.3,0.0,0.0,RE_WIND_Onshore_Lim_4_[ID]
ID,MM,,,126.3,0.0,0.0,RE_WIND_Onshore_Lim_5_[ID]
ID,MM,,,126.3,0.0,0.0,RE_WIND_Onshore_Lim_6_[ID]
ID,MM,,,126.3,0.0,0.0,RE_WIND_Onshore_Lim_7_[ID]
